Date,EL_Solar_BusBarn_Total_KW,Unnamed: 2,Date.1,EL_Solar_BusBarn_KWH_Dtot
2011-05-14 00:00:00,0.0,,14-May-11 00:00:00,13.18321732
2011-05-14 01:00:00,0.0,,15-May-11 00:00:00,118.0105122
2011-05-14 02:00:00,0.0,,16-May-11 00:00:00,174.1349977
2011-05-14 03:00:00,0.0,,17-May-11 00:00:00,174.8588585
2011-05-14 04:00:00,0.0,,18-May-11 00:00:00,165.1281996
2011-05-14 05:00:00,0.0,,19-May-11 00:00:00,551.0548742
2011-05-14 06:00:00,0.0,,20-May-11 00:00:00,111.5502202
2011-05-14 07:00:00,0.04432247263,,21-May-11 00:00:00,159.9973079
2011-05-14 08:00:00,0.2013119098,,22-May-11 00:00:00,95.52315891
2011-05-14 09:00:00,0.22392929,,23-May-11 00:00:00,194.7090246
2011-05-14 10:00:00,0.6451407148,,24-May-11 00:00:00,165.5485128
2011-05-14 11:00:00,1.391401171,,25-May-11 00:00:00,51.9198304
2011-05-14 12:00:00,2.448774847,,26-May-11 00:00:00,193.7137777
2011-05-14 13:00:00,2.27676335,,27-May-11 00:00:00,150.281984
2011-05-14 14:00:00,1.751586589,,28-May-11 00:00:00,81.00718271
2011-05-14 15:00:00,1.78710506,,29-May-11 00:00:00,60.43678799
2011-05-14 16:00:00,1.349125794,,30-May-11 00:00:00,211.0617483
2011-05-14 17:00:00,0.7948838056,,31-May-11 00:00:00,167.1509767
2011-05-14 18:00:00,0.2358038616,,01-Jun-11 00:00:00,208.8308996
2011-05-14 19:00:00,0.01659729315,,02-Jun-11 00:00:00,41.95721211
2011-05-14 20:00:00,0.0,,03-Jun-11 00:00:00,207.5572738
2011-05-14 21:00:00,0.0,,04-Jun-11 00:00:00,130.2235116
2011-05-14 22:00:00,0.0,,05-Jun-11 00:00:00,182.4757674
2011-05-14 23:00:00,0.0,,06-Jun-11 00:00:00,207.6300517
2011-05-15 00:00:00,0.0,,07-Jun-11 00:00:00,212.1479616
2011-05-15 01:00:00,0.0,,08-Jun-11 00:00:00,167.0191171
2011-05-15 02:00:00,0.0,,09-Jun-11 00:00:00,43.84255844
2011-05-15 03:00:00,0.0,,10-Jun-11 00:00:00,94.05393653
2011-05-15 04:00:00,0.0,,11-Jun-11 00:00:00,90.25693037
2011-05-15 05:00:00,0.0,,12-Jun-11 00:00:00,160.4316779
2011-05-15 06:00:00,0.2251863927,,13-Jun-11 00:00:00,138.0643482
2011-05-15 07:00:00,1.772135723,,14-Jun-11 00:00:00,128.07386
2011-05-15 08:00:00,4.152573813,,15-Jun-11 00:00:00,110.8405379
2011-05-15 09:00:00,4.666953582,,16-Jun-11 00:00:00,211.4105108
2011-05-15 10:00:00,6.010741328,,17-Jun-11 00:00:00,119.2897269
2011-05-15 11:00:00,9.349336338,,18-Jun-11 00:00:00,76.11317194
2011-05-15 12:00:00,8.490556067,,19-Jun-11 00:00:00,153.7716999
2011-05-15 13:00:00,17.67149576,,20-Jun-11 00:00:00,151.2121277
2011-05-15 14:00:00,17.40526131,,21-Jun-11 00:00:00,172.3615358
2011-05-15 15:00:00,19.31464415,,22-Jun-11 00:00:00,56.83643444
2011-05-15 16:00:00,15.02276401,,23-Jun-11 00:00:00,84.30578693
2011-05-15 17:00:00,9.513640322,,24-Jun-11 00:00:00,189.2845793
2011-05-15 18:00:00,3.950549862,,25-Jun-11 00:00:00,44.27975411
2011-05-15 19:00:00,0.4643884433,,26-Jun-11 00:00:00,192.9815802
2011-05-15 20:00:00,0.0001907274011,,27-Jun-11 00:00:00,171.6186219
2011-05-15 21:00:00,0.0,,28-Jun-11 00:00:00,228.5267035
2011-05-15 22:00:00,0.0,,29-Jun-11 00:00:00,234.5168115
2011-05-15 23:00:00,0.0,,30-Jun-11 00:00:00,226.0253563
2011-05-16 00:00:00,0.0,,01-Jul-11 00:00:00,219.7090007
2011-05-16 01:00:00,0.0,,02-Jul-11 00:00:00,223.0333502
2011-05-16 02:00:00,0.0,,03-Jul-11 00:00:00,123.8451668
2011-05-16 03:00:00,0.0,,04-Jul-11 00:00:00,232.0239761
2011-05-16 04:00:00,0.0,,05-Jul-11 00:00:00,161.9983491
