Date,Hour,Minute,DNI,DNI(KWH)
2011-01-01,0,30,0,0.0
2011-01-01,1,30,0,0.0
2011-01-01,2,30,0,0.0
2011-01-01,3,30,0,0.0
2011-01-01,4,30,0,0.0
2011-01-01,5,30,0,0.0
2011-01-01,6,30,0,0.0
2011-01-01,7,30,0,0.0
2011-01-01,8,30,548,0.548
2011-01-01,9,30,209,0.209
2011-01-01,10,30,351,0.351
2011-01-01,11,30,324,0.324
2011-01-01,12,30,439,0.439
2011-01-01,13,30,384,0.384
2011-01-01,14,30,42,0.042
2011-01-01,15,30,199,0.199
2011-01-01,16,30,0,0.0
2011-01-01,17,30,0,0.0
2011-01-01,18,30,0,0.0
2011-01-01,19,30,0,0.0
2011-01-01,20,30,0,0.0
2011-01-01,21,30,0,0.0
2011-01-01,22,30,0,0.0
2011-01-01,23,30,0,0.0
2011-01-02,0,30,0,0.0
2011-01-02,1,30,0,0.0
2011-01-02,2,30,0,0.0
2011-01-02,3,30,0,0.0
2011-01-02,4,30,0,0.0
2011-01-02,5,30,0,0.0
2011-01-02,6,30,0,0.0
2011-01-02,7,30,0,0.0
2011-01-02,8,30,606,0.606
2011-01-02,9,30,811,0.811
2011-01-02,10,30,891,0.891
2011-01-02,11,30,918,0.918
2011-01-02,12,30,906,0.906
2011-01-02,13,30,869,0.869
2011-01-02,14,30,781,0.781
2011-01-02,15,30,613,0.613
2011-01-02,16,30,198,0.198
2011-01-02,17,30,0,0.0
2011-01-02,18,30,0,0.0
2011-01-02,19,30,0,0.0
2011-01-02,20,30,0,0.0
2011-01-02,21,30,0,0.0
2011-01-02,22,30,0,0.0
2011-01-02,23,30,0,0.0
2011-01-03,0,30,0,0.0
2011-01-03,1,30,0,0.0
2011-01-03,2,30,0,0.0
2011-01-03,3,30,0,0.0
2011-01-03,4,30,0,0.0
2011-01-03,5,30,0,0.0
2011-01-03,6,30,0,0.0
2011-01-03,7,30,0,0.0
2011-01-03,8,30,520,0.52
2011-01-03,9,30,726,0.726
2011-01-03,10,30,541,0.541
2011-01-03,11,30,432,0.432
2011-01-03,12,30,185,0.185
2011-01-03,13,30,165,0.165
2011-01-03,14,30,147,0.147
2011-01-03,15,30,258,0.258
2011-01-03,16,30,0,0.0
2011-01-03,17,30,0,0.0
2011-01-03,18,30,0,0.0
2011-01-03,19,30,0,0.0
2011-01-03,20,30,0,0.0
2011-01-03,21,30,0,0.0
2011-01-03,22,30,0,0.0
2011-01-03,23,30,0,0.0
2011-01-04,0,30,0,0.0
2011-01-04,1,30,0,0.0
2011-01-04,2,30,0,0.0
2011-01-04,3,30,0,0.0
2011-01-04,4,30,0,0.0
2011-01-04,5,30,0,0.0
2011-01-04,6,30,0,0.0
2011-01-04,7,30,0,0.0
2011-01-04,8,30,527,0.527
2011-01-04,9,30,751,0.751
2011-01-04,10,30,846,0.846
2011-01-04,11,30,888,0.888
2011-01-04,12,30,854,0.854
2011-01-04,13,30,843,0.843
2011-01-04,14,30,787,0.787
2011-01-04,15,30,638,0.638
