Year,Month,Day,Hour,Minute,DNI,Wind Speed,Relative Humidity,Temperature,Pressure,DNI(KWH)
2013,1,1,0,30,0,2.8000000000000003,77.76,-14,990,0.0
2013,1,1,1,30,0,2.8000000000000003,73.41,-15,990,0.0
2013,1,1,2,30,0,2.8000000000000003,77.99,-16,990,0.0
2013,1,1,3,30,0,2.8000000000000003,78.77,-17,990,0.0
2013,1,1,4,30,0,2.9000000000000004,73.93,-18,990,0.0
2013,1,1,5,30,0,3.0,75.81,-19,990,0.0
2013,1,1,6,30,0,2.9000000000000004,78.13,-20,990,0.0
2013,1,1,7,30,0,2.8000000000000003,68.35000000000001,-19,990,0.0
2013,1,1,8,30,586,2.6,61.15,-17,990,0.586
2013,1,1,9,30,789,2.4000000000000004,61.58,-13,1000,0.789
2013,1,1,10,30,879,2.2,58.77,-11,1000,0.879
2013,1,1,11,30,917,2.0,56.91,-9,990,0.917
2013,1,1,12,30,924,1.9,56.42,-8,990,0.924
2013,1,1,13,30,898,2.0,58.43,-8,990,0.898
2013,1,1,14,30,831,2.0,59.45,-8,990,0.831
2013,1,1,15,30,681,2.0,72.58,-10,990,0.681
2013,1,1,16,30,278,2.1,68.03,-12,990,0.278
2013,1,1,17,30,0,2.1,64.85,-13,990,0.0
2013,1,1,18,30,0,1.8,65.42,-13,990,0.0
2013,1,1,19,30,0,1.6,67.37,-13,990,0.0
2013,1,1,20,30,0,1.6,74.26,-13,990,0.0
2013,1,1,21,30,0,1.6,75.39,-14,990,0.0
2013,1,1,22,30,0,1.7000000000000002,75.87,-14,990,0.0
2013,1,1,23,30,0,2.0,80.92,-15,990,0.0
2013,1,2,0,30,0,2.3000000000000003,78.43,-15,990,0.0
2013,1,2,1,30,0,2.5,82.76,-16,990,0.0
2013,1,2,2,30,0,2.5,83.49,-16,990,0.0
2013,1,2,3,30,0,2.5,85.33,-16,990,0.0
2013,1,2,4,30,0,2.6,86.36,-16,990,0.0
2013,1,2,5,30,0,2.7,80.15,-15,990,0.0
2013,1,2,6,30,0,2.8000000000000003,81.44,-15,990,0.0
2013,1,2,7,30,0,3.0,76.2,-14,990,0.0
2013,1,2,8,30,506,3.6,72.34,-11,990,0.506
2013,1,2,9,30,714,4.4,68.99,-7,990,0.714
2013,1,2,10,30,807,4.7,67.21000000000001,-5,990,0.807
2013,1,2,11,30,849,4.9,68.68,-3,990,0.849
2013,1,2,12,30,839,5.0,72.31,-2,990,0.839
2013,1,2,13,30,802,5.0,72.82000000000001,-1,990,0.802
2013,1,2,14,30,716,4.2,76.28,-1,990,0.716
2013,1,2,15,30,552,2.7,88.92,-3,990,0.552
2013,1,2,16,30,0,1.9,90.8,-5,990,0.0
2013,1,2,17,30,0,2.0,86.33,-6,990,0.0
2013,1,2,18,30,0,2.3000000000000003,90.49,-7,990,0.0
2013,1,2,19,30,0,2.6,84.13,-6,990,0.0
2013,1,2,20,30,0,2.6,86.45,-6,990,0.0
2013,1,2,21,30,0,2.6,88.49,-6,990,0.0
2013,1,2,22,30,0,2.7,89.52,-5,990,0.0
2013,1,2,23,30,0,2.9000000000000004,84.23,-5,990,0.0
2013,1,3,0,30,0,3.1,85.76,-5,990,0.0
2013,1,3,1,30,0,3.2,84.91,-5,990,0.0
2013,1,3,2,30,0,3.1,87.96000000000001,-6,990,0.0
2013,1,3,3,30,0,3.0,89.08,-7,990,0.0
2013,1,3,4,30,0,3.0,90.51,-8,990,0.0
2013,1,3,5,30,0,3.1,85.07000000000001,-8,990,0.0
2013,1,3,6,30,0,3.3000000000000003,84.63,-9,990,0.0
2013,1,3,7,30,0,3.5,76.31,-9,990,0.0
2013,1,3,8,30,526,4.3,69.78,-8,990,0.526
2013,1,3,9,30,720,5.1000000000000005,70.02,-6,1000,0.72
