Year,Month,Day,Hour,Minute,DNI,DNI(KWH)
2019,1,1,0,30,0,0.0
2019,1,1,1,30,0,0.0
2019,1,1,2,30,0,0.0
2019,1,1,3,30,0,0.0
2019,1,1,4,30,0,0.0
2019,1,1,5,30,0,0.0
2019,1,1,6,30,0,0.0
2019,1,1,7,30,13,0.013
2019,1,1,8,30,0,0.0
2019,1,1,9,30,4,0.004
2019,1,1,10,30,5,0.005
2019,1,1,11,30,0,0.0
2019,1,1,12,30,7,0.007
2019,1,1,13,30,5,0.005
2019,1,1,14,30,2,0.002
2019,1,1,15,30,0,0.0
2019,1,1,16,30,4,0.004
2019,1,1,17,30,0,0.0
2019,1,1,18,30,0,0.0
2019,1,1,19,30,0,0.0
2019,1,1,20,30,0,0.0
2019,1,1,21,30,0,0.0
2019,1,1,22,30,0,0.0
2019,1,1,23,30,0,0.0
2019,1,2,0,30,0,0.0
2019,1,2,1,30,0,0.0
2019,1,2,2,30,0,0.0
2019,1,2,3,30,0,0.0
2019,1,2,4,30,0,0.0
2019,1,2,5,30,0,0.0
2019,1,2,6,30,0,0.0
2019,1,2,7,30,0,0.0
2019,1,2,8,30,0,0.0
2019,1,2,9,30,0,0.0
2019,1,2,10,30,0,0.0
2019,1,2,11,30,5,0.005
2019,1,2,12,30,190,0.19
2019,1,2,13,30,866,0.866
2019,1,2,14,30,811,0.811
2019,1,2,15,30,673,0.673
2019,1,2,16,30,253,0.253
2019,1,2,17,30,0,0.0
2019,1,2,18,30,0,0.0
2019,1,2,19,30,0,0.0
2019,1,2,20,30,0,0.0
2019,1,2,21,30,0,0.0
2019,1,2,22,30,0,0.0
2019,1,2,23,30,0,0.0
2019,1,3,0,30,0,0.0
2019,1,3,1,30,0,0.0
2019,1,3,2,30,0,0.0
2019,1,3,3,30,0,0.0
2019,1,3,4,30,0,0.0
2019,1,3,5,30,0,0.0
2019,1,3,6,30,0,0.0
2019,1,3,7,30,36,0.036
2019,1,3,8,30,549,0.549
2019,1,3,9,30,775,0.775
2019,1,3,10,30,857,0.857
2019,1,3,11,30,885,0.885
2019,1,3,12,30,758,0.758
2019,1,3,13,30,862,0.862
2019,1,3,14,30,798,0.798
2019,1,3,15,30,657,0.657
2019,1,3,16,30,247,0.247
2019,1,3,17,30,0,0.0
