Year,Month,Day,Hour,Minute,DNI(KWH)
2022,1,1,0,0,0.2263773743083956
2022,1,1,1,0,0.2424582646420258
2022,1,1,2,0,0.23913475814764498
2022,1,1,3,0,0.22562512617234337
2022,1,1,4,0,0.24105827520388956
2022,1,1,5,0,0.25098116633588125
2022,1,1,6,0,0.32893898166369123
2022,1,1,7,0,0.4317219850564485
2022,1,1,8,0,0.5538534161570293
2022,1,1,9,0,0.6594119427404613
2022,1,1,10,0,0.7063612973315467
2022,1,1,11,0,0.7125490598202324
2022,1,1,12,0,0.6937102046575714
2022,1,1,13,0,0.700597116541152
2022,1,1,14,0,0.6882726382058615
2022,1,1,15,0,0.6794291119247228
2022,1,1,16,0,0.6052577364717411
2022,1,1,17,0,0.4748600538438642
2022,1,1,18,0,0.36981403776501276
2022,1,1,19,0,0.28575799430152937
2022,1,1,20,0,0.21427432591623577
2022,1,1,21,0,0.23334680303196653
2022,1,1,22,0,0.24925456645982622
2022,1,1,23,0,0.22296079934623947
2022,1,2,0,0,0.21682957071958125
2022,1,2,1,0,0.22098047194567974
2022,1,2,2,0,0.23857606600416428
2022,1,2,3,0,0.2133994417069733
2022,1,2,4,0,0.24290058692360725
2022,1,2,5,0,0.2522349159604231
2022,1,2,6,0,0.31759176776388476
2022,1,2,7,0,0.4552544217681167
2022,1,2,8,0,0.5629520453792651
2022,1,2,9,0,0.6504159712765204
2022,1,2,10,0,0.7039325310531263
2022,1,2,11,0,0.6988572490812202
2022,1,2,12,0,0.7013365095743829
2022,1,2,13,0,0.7034254160203207
2022,1,2,14,0,0.7171471616464906
2022,1,2,15,0,0.685685969110058
2022,1,2,16,0,0.5708999153489903
2022,1,2,17,0,0.4870624490175153
2022,1,2,18,0,0.349494288712666
2022,1,2,19,0,0.2818797254964225
2022,1,2,20,0,0.2601124430667009
2022,1,2,21,0,0.22212661822262864
2022,1,2,22,0,0.23910663552307257
2022,1,2,23,0,0.2334764171105024
2022,1,3,0,0,0.24380704456193064
2022,1,3,1,0,0.22678251107637723
2022,1,3,2,0,0.23540950511175313
2022,1,3,3,0,0.23101756137342272
2022,1,3,4,0,0.24704361293672547
2022,1,3,5,0,0.2796936067910298
2022,1,3,6,0,0.3502381125233016
2022,1,3,7,0,0.43362795665194337
2022,1,3,8,0,0.5801689607362228
2022,1,3,9,0,0.6481078016305515
2022,1,3,10,0,0.6978590920826825
2022,1,3,11,0,0.7108210265529538
2022,1,3,12,0,0.6939931827021046
2022,1,3,13,0,0.7190863809424856
2022,1,3,14,0,0.706892551024066
2022,1,3,15,0,0.662824554084215
2022,1,3,16,0,0.58848871918636
2022,1,3,17,0,0.49821900855981555
2022,1,3,18,0,0.3476141098787565
2022,1,3,19,0,0.27392816601364894
2022,1,3,20,0,0.24257254926544425
2022,1,3,21,0,0.2269573712968779
2022,1,3,22,0,0.23990977352639498
2022,1,3,23,0,0.23587714175627653
2022,1,4,0,0,0.24085019029582827
2022,1,4,1,0,0.24423687894431872
2022,1,4,2,0,0.23670505491028587
2022,1,4,3,0,0.23102783480335573
2022,1,4,4,0,0.22008419739926002
2022,1,4,5,0,0.2770549100343805
2022,1,4,6,0,0.3308619291380893
2022,1,4,7,0,0.4482293573494308
2022,1,4,8,0,0.5780909317236677
2022,1,4,9,0,0.6219500805331409
2022,1,4,10,0,0.7115691965319074
2022,1,4,11,0,0.7050648763736793
2022,1,4,12,0,0.7251586950454597
2022,1,4,13,0,0.6739949528533955
2022,1,4,14,0,0.7021606350221853
2022,1,4,15,0,0.6756673423240436
2022,1,4,16,0,0.6093659306102438
2022,1,4,17,0,0.4774718740499443
2022,1,4,18,0,0.3611420818801297
2022,1,4,19,0,0.2795411540807824
2022,1,4,20,0,0.22997740057456367
2022,1,4,21,0,0.22769273047894795
2022,1,4,22,0,0.2323109598900853
2022,1,4,23,0,0.22534592984358656
2022,1,5,0,0,0.22409136122698342
2022,1,5,1,0,0.23817462123112407
2022,1,5,2,0,0.23959452549399285
2022,1,5,3,0,0.23200562468105365
2022,1,5,4,0,0.22895266588821236
2022,1,5,5,0,0.26861480242374564
2022,1,5,6,0,0.3293897570325707
2022,1,5,7,0,0.44488514727478456
2022,1,5,8,0,0.5885979436688242
2022,1,5,9,0,0.6634889500945305
2022,1,5,10,0,0.6936361962308337
2022,1,5,11,0,0.7061528479675208
2022,1,5,12,0,0.6954390689045785
2022,1,5,13,0,0.7122871844143556
2022,1,5,14,0,0.7050071154241971
2022,1,5,15,0,0.6721509268978373
2022,1,5,16,0,0.5925120051180267
2022,1,5,17,0,0.49366986262350726
2022,1,5,18,0,0.3660133544066589
2022,1,5,19,0,0.2738251632304127
2022,1,5,20,0,0.24230871758946002
2022,1,5,21,0,0.2168076513888961
2022,1,5,22,0,0.2657489196327187
2022,1,5,23,0,0.240193225044885
2022,1,6,0,0,0.2718602371952408
2022,1,6,1,0,0.236206775760446
2022,1,6,2,0,0.2394346297824785
2022,1,6,3,0,0.21511349529967566
2022,1,6,4,0,0.23072889772887192
2022,1,6,5,0,0.25416274163997893
2022,1,6,6,0,0.34243805557006607
2022,1,6,7,0,0.4503206853052554
2022,1,6,8,0,0.5611657492988246
