Date,Hour,Total_KW,DNI(KWH),Energy_conversion
2011-05-14,0,0.0,0.0,0.0
2011-05-14,1,0.0,0.0,0.0
2011-05-14,2,0.0,0.0,0.0
2011-05-14,3,0.0,0.0,0.0
2011-05-14,4,0.0,0.0,0.0
2011-05-14,5,0.0,0.0,0.0
2011-05-14,6,0.0,0.0,0.0
2011-05-14,7,0.04432247263,0.001,2.650469285692928
2011-05-14,8,0.2013119098,0.0,0.0
2011-05-14,9,0.22392929,0.0,0.0
2011-05-14,10,0.6451407148,0.0,0.0
2011-05-14,11,1.391401171,0.0,0.0
2011-05-14,13,2.27676335,0.011,12.377245409695702
2011-05-14,15,1.78710506,0.0,0.0
2011-05-14,16,1.349125794,0.029,2.7819751295229946
2011-05-14,17,0.7948838056,0.0,0.0
2011-05-14,18,0.2358038616,0.0,0.0
2011-05-14,19,0.01659729315,0.0,0.0
2011-05-14,20,0.0,0.0,0.0
2011-05-14,21,0.0,0.0,0.0
2011-05-14,22,0.0,0.0,0.0
2011-05-14,23,0.0,0.0,0.0
2011-05-15,0,0.0,0.0,0.0
2011-05-15,1,0.0,0.0,0.0
2011-05-15,2,0.0,0.0,0.0
2011-05-15,3,0.0,0.0,0.0
2011-05-15,4,0.0,0.0,0.0
2011-05-15,5,0.0,0.0,0.0
2011-05-15,6,0.2251863927,0.0,0.0
2011-05-15,7,1.772135723,0.021,5.046339684912685
2011-05-15,8,4.152573813,0.0,0.0
2011-05-15,10,6.010741328,0.105,3.4232414713566697
2011-05-15,11,9.349336338,0.042,13.311600905537878
2011-05-15,12,8.490556067,0.447,1.1358668015169315
2011-05-15,13,17.67149576,0.898,1.1767813299833088
2011-05-15,14,17.40526131,0.555,1.8753673905928652
2011-05-15,15,19.31464415,0.834,1.3849033184873838
2011-05-15,16,15.02276401,0.765,1.1743220220105781
2011-05-15,17,9.513640322,0.637,0.8931123426004831
2011-05-15,18,3.950549862,0.38,0.6216883747865702
2011-05-15,19,0.4643884433,0.0,0.0
2011-05-15,20,0.0001907274011,0.0,0.0
2011-05-15,21,0.0,0.0,0.0
2011-05-15,22,0.0,0.0,0.0
2011-05-15,23,0.0,0.0,0.0
2011-05-16,0,0.0,0.0,0.0
2011-05-16,1,0.0,0.0,0.0
2011-05-16,2,0.0,0.0,0.0
2011-05-16,3,0.0,0.0,0.0
2011-05-16,4,0.0,0.0,0.0
2011-05-16,5,0.0005509310482,0.395,8.340631767629076e-05
2011-05-16,6,0.2472125202,0.69,0.021424967246680145
2011-05-16,7,3.189358838,0.82,0.23258854821713118
2011-05-16,8,8.75295905,0.888,0.5894415229252274
2011-05-16,9,14.26496447,0.932,0.9152791669366849
2011-05-16,10,18.54796995,0.95,1.1675394764381428
2011-05-16,11,21.04408478,0.956,1.3163486908813633
2011-05-16,12,22.02654858,0.941,1.3997665893645237
2011-05-16,13,21.97515701,0.93,1.4130184533425927
2011-05-16,14,20.7722564,0.907,1.3695414561879227
2011-05-16,15,16.46036681,0.87,1.1314074959231402
2011-05-16,16,12.92759915,0.798,0.9687546081529133
2011-05-16,17,9.553485751,0.672,0.8501418240857413
2011-05-16,18,3.92856225,0.395,0.5947512163366646
2011-05-16,19,0.4432236365,0.0,0.0
2011-05-16,20,0.0005582269436,0.0,0.0
2011-05-16,21,0.0,0.0,0.0
2011-05-16,22,0.0,0.0,0.0
2011-05-16,23,0.0,0.0,0.0
2011-05-17,0,0.0,0.0,0.0
2011-05-17,1,0.0,0.0,0.0
2011-05-17,2,0.0,0.0,0.0
2011-05-17,3,0.0,0.0,0.0
2011-05-17,4,0.0,0.0,0.0
2011-05-17,5,0.0006655207688,0.362,0.0001099390140487929
2011-05-17,6,0.2640829045,0.666,0.02371181806713276
2011-05-17,7,3.249785647,0.805,0.24141132030059548
2011-05-17,8,8.764631662,0.88,0.5955932849046602
2011-05-17,9,14.13482312,0.922,0.916765481191155
2011-05-17,10,18.22574873,0.944,1.1545484953794618
2011-05-17,11,20.66543993,0.952,1.2980950745674262
2011-05-17,12,21.74007194,0.947,1.3728079743840185
2011-05-17,13,21.04439711,0.932,1.3502661220105776
2011-05-17,14,20.25755435,0.904,1.3400388135586492
2011-05-17,15,18.2291432,0.859,1.269029997471219
2011-05-17,16,14.49780102,0.785,1.1044123983381786
2011-05-17,17,9.412628306,0.654,0.8606606680464481
2011-05-17,18,3.913832255,0.39,0.6001176451196185
2011-05-17,19,0.4571109871,0.0,0.0
2011-05-17,20,0.001001971655,0.0,0.0
2011-05-17,21,0.0,0.0,0.0
2011-05-17,22,0.0,0.0,0.0
2011-05-17,23,0.0,0.0,0.0
2011-05-18,0,0.0,0.0,0.0
2011-05-18,1,0.0,0.0,0.0
2011-05-18,2,0.0,0.0,0.0
2011-05-18,3,0.0,0.0,0.0
2011-05-18,4,0.0,0.0,0.0
2011-05-18,5,0.0003498369893,0.367,5.700309781849334e-05
2011-05-18,6,0.2580648176,0.652,0.023669004931638517
2011-05-18,7,3.203063472,0.783,0.24462597974944855
2011-05-18,8,7.768868999,0.852,0.5452767734427696
2011-05-18,9,13.51345233,0.891,0.9069584789943588
2011-05-18,10,17.7791851,0.908,1.1709134597336808
2011-05-18,11,19.8572099,0.913,1.300607470996259
2011-05-18,12,20.82246123,0.872,1.4279545104176237
2011-05-18,13,19.48362635,0.849,1.3723373941113526
2011-05-18,14,17.9010425,0.812,1.318320756009241
2011-05-18,15,18.03669271,0.76,1.4191951208189408
2011-05-18,16,12.86670502,0.667,1.153560312383799
2011-05-18,17,9.289910124,0.521,1.066283243724693
2011-05-18,18,3.852298273,0.275,0.8376951625871512
2011-05-18,19,0.4951368007,0.0,0.0
2011-05-18,20,0.0,0.0,0.0
2011-05-18,21,0.0,0.0,0.0
2011-05-18,22,0.0,0.0,0.0
2011-05-18,23,0.0,0.0,0.0
2011-05-19,0,0.0,0.0,0.0
2011-05-19,1,0.0,0.0,0.0
2011-05-19,2,0.0,0.0,0.0
2011-05-19,3,0.0,0.0,0.0
2011-05-19,4,0.0,0.0,0.0
2011-05-19,5,0.002036835097,0.0,0.0
2011-05-19,6,1.111296649,0.284,0.23399709192514936
2011-05-19,7,3.506920143,0.374,0.5607290671970823
2011-05-19,8,7.088185676,0.527,0.8043096245414673
2011-05-19,9,11.09988513,0.182,3.647085055175054
2011-05-19,11,19.30108489,0.329,3.5082022137692825
2011-05-19,12,21.08680103,0.297,4.245736586475711
2011-05-19,13,17.13857329,0.531,1.9300961316313512
2011-05-19,14,21.50268433,0.415,3.0984420499759544
2011-05-19,15,17.46959486,0.537,1.945392973761363
2011-05-19,16,15.56457575,0.429,2.1695955960121007
2011-05-19,17,8.695919189,0.196,2.65312809913321
2011-05-19,18,3.837331883,0.202,1.1359959629301246
2011-05-19,19,0.8520582172,0.0,0.0
2011-05-19,20,0.006691381304,0.0,0.0
2011-05-19,21,0.0,0.0,0.0
2011-05-19,22,0.0,0.0,0.0
2011-05-19,23,0.0,0.0,0.0
2011-05-20,0,0.0,0.0,0.0
2011-05-20,1,0.0,0.0,0.0
2011-05-20,2,0.0,0.0,0.0
2011-05-20,3,0.0,0.0,0.0
2011-05-20,4,0.0,0.0,0.0
2011-05-20,5,0.0,0.0,0.0
2011-05-20,6,0.08280403918,0.049,0.1010541695686796
2011-05-20,7,1.748172481,0.008,13.067517424129166
2011-05-20,8,2.944277397,0.325,0.5417440614556619
2011-05-20,9,12.91518802,0.276,2.798275347152257
2011-05-20,10,14.48745234,0.349,2.4823635674359092
2011-05-20,11,16.97560036,0.257,3.949942872699414
2011-05-20,12,18.75281443,0.216,5.191722847903966
2011-05-20,13,16.38129944,0.15,6.530642124881646
2011-05-20,14,11.98280114,0.064,11.196368235162206
2011-05-20,16,3.506292422,0.0,0.0
2011-05-20,17,0.7120011485,0.0,0.0
2011-05-20,18,0.9131153263,0.0,0.0
2011-05-20,19,0.1518513559,0.0,0.0
2011-05-20,20,0.0,0.0,0.0
2011-05-20,21,0.0,0.0,0.0
2011-05-20,22,0.0,0.0,0.0
2011-05-20,23,0.0,0.0,0.0
2011-05-21,0,0.0,0.0,0.0
2011-05-21,1,0.0,0.0,0.0
2011-05-21,2,0.0,0.0,0.0
2011-05-21,3,0.0,0.0,0.0
2011-05-21,4,0.0,0.0,0.0
2011-05-21,5,0.0,0.0,0.0
2011-05-21,6,0.4787348294,0.0,0.0
2011-05-21,7,0.9973006034,0.0,0.0
2011-05-21,8,0.5017815708,0.004,7.501593224697263
2011-05-21,9,4.018594579,0.265,0.9068325815687259
2011-05-21,10,13.92807228,0.076,10.959133439818713
2011-05-21,11,11.59983526,0.606,1.1446639164738721
2011-05-21,12,22.94520534,0.154,8.909842420100457
2011-05-21,13,24.23447392,0.838,1.7293718016006758
2011-05-21,14,25.34169233,0.841,1.8019320648005166
2011-05-21,15,21.21269379,0.804,1.5777513828673941
2011-05-21,16,17.1579321,0.724,1.4171805198441576
2011-05-21,17,11.71590949,0.587,1.1935392404779595
2011-05-21,18,5.07257913,0.34,0.8921722459173532
2011-05-21,19,0.786523982,0.0,0.0
2011-05-21,20,0.005850663191,0.0,0.0
2011-05-21,21,0.0,0.0,0.0
2011-05-21,22,0.0,0.0,0.0
2011-05-21,23,0.0,0.0,0.0
2011-05-22,0,0.0,0.0,0.0
2011-05-22,1,0.0,0.0,0.0
2011-05-22,2,0.0,0.0,0.0
2011-05-22,3,0.0,0.0,0.0
2011-05-22,4,0.0,0.0,0.0
2011-05-22,5,0.00038050394,0.26,8.751542486516324e-05
2011-05-22,6,0.4850123145,0.541,0.053611047851066754
2011-05-22,7,4.275105142,0.689,0.37104482063461863
2011-05-22,9,9.11198716,0.516,1.0559958047517561
